,SiteCode,MonthYear,Location,SpeciesCode,SCTLD,TotalObservations,abundnace
1,SEFL04,17-Dec,JUP,ALAM,0,1,0.497512438
2,SEFL04,17-Dec,JUP,CNAT,0,1,0.497512438
3,SEFL04,17-Dec,JUP,MCAV,0,20,9.950248756
4,SEFL04,17-Dec,JUP,MDEC,0,1,0.497512438
5,SEFL04,17-Dec,JUP,OFAV,0,2,0.995024876
6,SEFL04,17-Dec,JUP,PAST,0,11,5.472636816
7,SEFL04,17-Dec,JUP,PSTRI,0,1,0.497512438
8,SEFL04,17-Dec,JUP,SINT,0,1,0.497512438
9,SEFL04,17-Dec,JUP,SSID,0,1,0.497512438
10,SEFL04,17-Dec,JUP,UAGA,0,8,3.980099502
11,SEFL05,17-Dec,JUP,MCAV,0,22,10.94527363
12,SEFL05,17-Dec,JUP,UAGA,0,2,0.995024876
13,SEFL06,17-Dec,JUP,MCAV,1,88,43.78109453
14,SEFL06,17-Dec,JUP,MDEC,0,1,0.497512438
15,SEFL06,17-Dec,JUP,PAST,0,29,14.4278607
16,SEFL06,17-Dec,JUP,PSTR,0,1,0.497512438
17,SEFL06,17-Dec,JUP,SBOU,0,1,0.497512438
18,SEFL06,17-Dec,JUP,SSID,0,1,0.497512438
19,SEFL06,17-Dec,JUP,UAGA,0,9,4.47761194
20,SEFL04,18-May,JUP,AGGA,0,7,25
21,SEFL04,18-May,JUP,MCAV,0,9,32.14285714
22,SEFL04,18-May,JUP,OANN,0,1,3.571428571
23,SEFL04,18-May,JUP,PAST,0,3,10.71428571
24,SEFL04,18-May,JUP,SBOU,0,4,14.28571429
25,SEFL04,18-May,JUP,SRAD,0,1,3.571428571
26,SEFL04,18-May,JUP,SSID,0,3,10.71428571
27,SEFL05,18-Jun,JUP,AAGA,0,1,0.877192982
28,SEFL05,18-Jun,JUP,DSTO,0,1,0.877192982
29,SEFL05,18-Jun,JUP,MCAV,0,18,15.78947368
30,SEFL05,18-Jun,JUP,ODIF,0,1,0.877192982
31,SEFL05,18-Jun,JUP,SINT,0,1,0.877192982
32,SEFL05,18-Jun,JUP,SSID,0,2,1.754385965
33,SEFL06,18-Jun,JUP,AAGA,0,7,6.140350877
34,SEFL06,18-Jun,JUP,HCUC,0,1,0.877192982
35,SEFL06,18-Jun,JUP,MCAV,0,69,60.52631579
36,SEFL06,18-Jun,JUP,PAST,0,10,8.771929825
37,SEFL06,18-Jun,JUP,SINT,0,2,1.754385965
38,SEFL06,18-Jun,JUP,SSID,0,1,0.877192982
39,SEFL04,18-Aug,JUP,AAGA,0,3,1.734104046
40,SEFL04,18-Aug,JUP,HCUC,0,1,0.578034682
41,SEFL04,18-Aug,JUP,MCAV,0,49,28.32369942
42,SEFL04,18-Aug,JUP,OFAV,0,1,0.578034682
43,SEFL04,18-Aug,JUP,PAST,0,4,2.312138728
44,SEFL04,18-Aug,JUP,SCUB,0,1,0.578034682
45,SEFL04,18-Aug,JUP,SSID,0,1,0.578034682
46,SEFL05,18-Aug,JUP,AAGA,0,1,0.578034682
47,SEFL05,18-Aug,JUP,MCAV,0,18,10.40462428
48,SEFL06,18-Aug,JUP,AAGA,0,6,3.468208092
49,SEFL06,18-Aug,JUP,MCAV,2,70,40.46242775
50,SEFL06,18-Aug,JUP,MDEC,0,1,0.578034682
51,SEFL06,18-Aug,JUP,OFAV,0,1,0.578034682
52,SEFL06,18-Aug,JUP,PAST,0,10,5.780346821
53,SEFL06,18-Aug,JUP,SBOU,0,3,1.734104046
54,SEFL06,18-Aug,JUP,SINT,0,3,1.734104046
55,SEFL04,18-Dec,JUP,AAGA,0,12,2.591792657
56,SEFL04,18-Dec,JUP,CNAT,0,1,0.215982721
57,SEFL04,18-Dec,JUP,DSTO,0,1,0.215982721
58,SEFL04,18-Dec,JUP,MCAV,0,153,33.04535637
59,SEFL04,18-Dec,JUP,PAST,0,16,3.455723542
60,SEFL04,18-Dec,JUP,SINT,0,2,0.431965443
61,SEFL04,18-Dec,JUP,SRAD,0,1,0.215982721
62,SEFL04,18-Dec,JUP,SSID,0,4,0.863930886
63,SEFL05,18-Dec,JUP,AAGA,0,5,1.079913607
64,SEFL05,18-Dec,JUP,DSTO,0,2,0.431965443
65,SEFL05,18-Dec,JUP,MCAV,0,22,4.75161987
66,SEFL05,18-Dec,JUP,SINT,0,2,0.431965443
67,SEFL05,18-Dec,JUP,SRAD,0,2,0.431965443
68,SEFL06,18-Dec,JUP,AAGA,0,10,2.159827214
69,SEFL06,18-Dec,JUP,MCAV,7,177,38.22894168
70,SEFL06,18-Dec,JUP,MDEC,0,1,0.215982721
71,SEFL06,18-Dec,JUP,PAST,0,42,9.071274298
72,SEFL06,18-Dec,JUP,SBOU,0,2,0.431965443
73,SEFL06,18-Dec,JUP,SINT,0,6,1.295896328
74,SEFL06,18-Dec,JUP,SRAD,0,1,0.215982721
75,SEFL06,18-Dec,JUP,SSID,0,1,0.215982721
76,SEFL04,19-Mar,JUP,AAGA,3,8,4.90797546
77,SEFL04,19-Mar,JUP,CNAT,0,2,1.226993865
78,SEFL04,19-Mar,JUP,DSTO,0,3,1.840490798
79,SEFL04,19-Mar,JUP,MALI,1,1,0.613496933
80,SEFL04,19-Mar,JUP,MCAV,0,28,17.17791411
81,SEFL04,19-Mar,JUP,MDEC,0,1,0.613496933
82,SEFL04,19-Mar,JUP,MMEA,0,3,1.840490798
83,SEFL04,19-Mar,JUP,OFAV,0,1,0.613496933
84,SEFL04,19-Mar,JUP,PAST,0,12,7.36196319
85,SEFL04,19-Mar,JUP,PSTR,0,2,1.226993865
86,SEFL04,19-Mar,JUP,SINT,0,4,2.45398773
87,SEFL04,19-Mar,JUP,SSID,0,1,0.613496933
88,SEFL05,19-Mar,JUP,AAGA,0,1,0.613496933
89,SEFL05,19-Mar,JUP,AFRA,0,1,0.613496933
90,SEFL05,19-Mar,JUP,MCAV,1,10,6.134969325
91,SEFL05,19-Mar,JUP,SINT,0,1,0.613496933
92,SEFL06,19-Mar,JUP,AAGA,5,6,3.680981595
93,SEFL06,19-Mar,JUP,CNAT,0,1,0.613496933
94,SEFL06,19-Mar,JUP,DSTO,0,1,0.613496933
95,SEFL06,19-Mar,JUP,MCAV,4,67,41.10429448
96,SEFL06,19-Mar,JUP,PAST,0,5,3.067484663
97,SEFL06,19-Mar,JUP,PSTR,0,1,0.613496933
98,SEFL06,19-Mar,JUP,SBOU,0,1,0.613496933
99,SEFL06,19-Mar,JUP,SINT,0,2,1.226993865
100,SEFL04,19-May,JUP,AAGA,0,16,4.678362573
101,SEFL04,19-May,JUP,DSTO,0,1,0.292397661
102,SEFL04,19-May,JUP,HCUC,0,1,0.292397661
103,SEFL04,19-May,JUP,MCAV,0,98,28.65497076
104,SEFL04,19-May,JUP,MDEC,0,2,0.584795322
105,SEFL04,19-May,JUP,OFAV,0,1,0.292397661
106,SEFL04,19-May,JUP,PAST,0,18,5.263157895
107,SEFL04,19-May,JUP,PSTR,0,1,0.292397661
108,SEFL04,19-May,JUP,SINT,0,3,0.877192982
109,SEFL04,19-May,JUP,SSID,0,2,0.584795322
110,SEFL05,19-May,JUP,MCAV,0,14,4.093567251
111,SEFL05,19-May,JUP,ODIF,0,1,0.292397661
112,SEFL05,19-May,JUP,SINT,0,1,0.292397661
113,SEFL06,19-May,JUP,AAGA,0,10,2.923976608
114,SEFL06,19-May,JUP,ALAM,0,1,0.292397661
115,SEFL06,19-May,JUP,MCAV,0,141,41.22807018
116,SEFL06,19-May,JUP,PAST,0,27,7.894736842
117,SEFL06,19-May,JUP,SINT,0,1,0.292397661
118,SEFL06,19-May,JUP,SSID,1,3,0.877192982
