,SiteCode,MonthYear,Location,SpeciesCode,SCTLD,TotalObservations,abundance
1,SEFL08,17-Dec,WPB,MCAV,0,19,0.169642857
2,SEFL08,17-Dec,WPB,MDEC,0,7,
3,SEFL08,17-Dec,WPB,MLAM,0,1,
4,SEFL08,17-Dec,WPB,PAST,0,6,
5,SEFL08,17-Dec,WPB,SINT,0,1,
6,SEFL08,17-Dec,WPB,SSID,0,4,
7,SEFL11,17-Dec,WPB,EFAST,0,1,
8,SEFL11,17-Dec,WPB,MCAV,1,35,
9,SEFL11,17-Dec,WPB,MDEC,0,2,
10,SEFL11,17-Dec,WPB,MFOR,0,1,
11,SEFL11,17-Dec,WPB,SINT,0,1,
12,SEFL11,17-Dec,WPB,SRAD,0,1,
13,SEFL11,17-Dec,WPB,SSID,0,3,
14,SEFL12,17-Dec,WPB,DSTO,0,1,
15,SEFL12,17-Dec,WPB,MCAV,0,15,
16,SEFL12,17-Dec,WPB,MDEC,0,4,
17,SEFL12,17-Dec,WPB,PAST,0,7,
18,SEFL12,17-Dec,WPB,SBOU,0,1,
19,SEFL12,17-Dec,WPB,SSID,0,2,
20,SEFL08,18-Apr,WPB,AAGA,0,4,
21,SEFL08,18-Apr,WPB,MCAV,0,43,
22,SEFL08,18-Apr,WPB,MDEC,0,12,
23,SEFL08,18-Apr,WPB,MMEA,0,2,
24,SEFL08,18-Apr,WPB,PAST,0,55,
25,SEFL08,18-Apr,WPB,SINT,0,2,
26,SEFL08,18-Apr,WPB,SRAD,0,3,
27,SEFL08,18-Apr,WPB,SSID,0,8,
28,SEFL08,18-Aug,WPB,AAGA,0,2,
29,SEFL08,18-Aug,WPB,DSTO,0,1,
30,SEFL08,18-Aug,WPB,MCAV,0,44,
31,SEFL08,18-Aug,WPB,MDEC,0,10,
32,SEFL08,18-Aug,WPB,MMEA,0,3,
33,SEFL08,18-Aug,WPB,MYCE,0,1,
34,SEFL08,18-Aug,WPB,PAST,0,23,
35,SEFL08,18-Aug,WPB,SBOU,0,1,
36,SEFL08,18-Aug,WPB,SSID,0,2,
37,SEFL11,18-Aug,WPB,MANG,0,1,
38,SEFL11,18-Aug,WPB,MCAV,1,36,
39,SEFL11,18-Aug,WPB,MDEC,0,1,
40,SEFL11,18-Aug,WPB,MMEA,0,4,
41,SEFL11,18-Aug,WPB,PAST,1,11,
42,SEFL11,18-Aug,WPB,SRAD,0,3,
43,SEFL11,18-Aug,WPB,SSID,0,2,
44,SEFL08,19-Feb,WPB,DLAB,0,1,
45,SEFL08,19-Feb,WPB,DSTO,0,2,
46,SEFL08,19-Feb,WPB,MALC,0,2,
47,SEFL08,19-Feb,WPB,MCAV,0,106,
48,SEFL08,19-Feb,WPB,MDEC,0,14,
49,SEFL08,19-Feb,WPB,MMEA,0,2,
50,SEFL08,19-Feb,WPB,PAST,0,21,
51,SEFL08,19-Feb,WPB,PCLI,0,2,
52,SEFL08,19-Feb,WPB,PSTR,0,2,
53,SEFL08,19-Feb,WPB,SINT,0,2,
54,SEFL08,19-Feb,WPB,SRAD,0,1,
55,SEFL08,19-Feb,WPB,SSID,0,7,
56,SEFL11,19-Feb,WPB,AAGA,0,1,
57,SEFL11,19-Feb,WPB,EFAS,0,2,
58,SEFL11,19-Feb,WPB,MAUR,0,4,
59,SEFL11,19-Feb,WPB,MCAV,0,90,
60,SEFL11,19-Feb,WPB,MDEC,0,5,
61,SEFL11,19-Feb,WPB,MMEA,0,2,
62,SEFL11,19-Feb,WPB,PAST,0,37,
63,SEFL11,19-Feb,WPB,SINT,0,5,
64,SEFL11,19-Feb,WPB,SSID,0,9,
65,SEFL12,19-Feb,WPB,CNAT,0,1,
66,SEFL12,19-Feb,WPB,DSTO,0,1,
67,SEFL12,19-Feb,WPB,FFRA,0,1,
68,SEFL12,19-Feb,WPB,MCAV,0,57,
69,SEFL12,19-Feb,WPB,MDEC,0,4,
70,SEFL12,19-Feb,WPB,MFER,0,1,
71,SEFL12,19-Feb,WPB,MMEA,0,4,
72,SEFL12,19-Feb,WPB,PAST,0,13,
73,SEFL12,19-Feb,WPB,PCLI,0,1,
74,SEFL12,19-Feb,WPB,PSTR,0,4,
75,SEFL12,19-Feb,WPB,SINT,0,5,
76,SEFL12,19-Feb,WPB,SSID,0,7,
77,SEFL11,19-Mar,WPB,MAUR,0,4,
78,SEFL11,19-Mar,WPB,MCAV,1,32,
79,SEFL11,19-Mar,WPB,MDEC,0,1,
80,SEFL11,19-Mar,WPB,MMEA,0,1,
81,SEFL11,19-Mar,WPB,PAST,1,10,
82,SEFL11,19-Mar,WPB,PSTR,0,3,
83,SEFL11,19-Mar,WPB,SINT,0,3,
84,SEFL11,19-Mar,WPB,SRAD,0,1,
85,SEFL12,19-Mar,WPB,MCAV,1,20,
86,SEFL12,19-Mar,WPB,MMEA,0,3,
87,SEFL12,19-Mar,WPB,PAST,0,4,
88,SEFL12,19-Mar,WPB,PSTO,1,3,
89,SEFL12,19-Mar,WPB,PSTR,0,1,
90,SEFL12,19-Mar,WPB,SBOU,0,2,
91,SEFL12,19-Mar,WPB,SINT,0,2,
92,SEFL12,19-Mar,WPB,SRAD,0,5,
93,SEFL08,19-May,WPB,DSTO,0,1,
94,SEFL08,19-May,WPB,MCAV,0,42,
95,SEFL08,19-May,WPB,PAST,0,19,
96,SEFL08,19-May,WPB,SSID,0,1,
97,SEFL11,19-May,WPB,MALI,0,1,
98,SEFL11,19-May,WPB,MAUR,0,4,
99,SEFL11,19-May,WPB,MCAV,0,38,
100,SEFL11,19-May,WPB,MDEC,0,4,
101,SEFL11,19-May,WPB,OFAV,0,1,
102,SEFL11,19-May,WPB,PAST,0,17,
103,SEFL11,19-May,WPB,SINT,0,1,
104,SEFL11,19-May,WPB,SSID,0,2,
105,SEFL12,19-May,WPB,MCAV,0,18,
106,SEFL12,19-May,WPB,MMEA,0,1,
107,SEFL12,19-May,WPB,PAST,0,3,
108,SEFL12,19-May,WPB,PSTR,0,1,
109,SEFL12,19-May,WPB,SINT,0,1,
110,SEFL08,19-Jun,WPB,AAGA,0,1,
111,SEFL08,19-Jun,WPB,MALI,0,1,
112,SEFL08,19-Jun,WPB,MCAV,0,66,
113,SEFL08,19-Jun,WPB,MDEC,0,1,
114,SEFL08,19-Jun,WPB,PAST,0,40,
115,SEFL08,19-Jun,WPB,SRAD,0,1,
116,SEFL11,19-Jun,WPB,AAGA,0,1,
117,SEFL11,19-Jun,WPB,DSTO,0,1,
118,SEFL11,19-Jun,WPB,MCAV,1,40,
119,SEFL11,19-Jun,WPB,MDEC,0,2,
120,SEFL11,19-Jun,WPB,MMEA,0,1,
121,SEFL11,19-Jun,WPB,PAST,0,28,
122,SEFL11,19-Jun,WPB,SRAD,0,4,
123,SEFL12,19-Jun,WPB,DSTO,1,5,
124,SEFL12,19-Jun,WPB,MALI,0,1,
125,SEFL12,19-Jun,WPB,MCAV,0,17,
126,SEFL12,19-Jun,WPB,MMEA,0,4,
127,SEFL12,19-Jun,WPB,PAST,0,13,
128,SEFL12,19-Jun,WPB,PLAB,0,1,
129,SEFL12,19-Jun,WPB,SINT,0,10,
130,SEFL12,19-Jun,WPB,SRAD,0,3,
